Varroa Population Simulation - Nov 07,2016  02:45:41 PM
VarroaPop Version 3.2.6.9  Nov 2016

                                        Capped  Capped                                                                      Prop           Conc          Conc                                             
            Colony  Adult  Adult         Drone   Wkr    Drone  Wkr    Drone  Wkr  Free   DBrood WBrood DMite  WMite  Mites  Mites  Colony Pollen Colony Nectar   Dead   Dead   Dead   Dead   Dead    Queen      Ave
     Date   Size   Drones   Wkr   Forgrs Brood  Brood   Larv   Larv    Eggs  Eggs Mites  Mites  Mites  /Cell  /Cell  Dying  Dying  Pollen  Pest  Nectar  Pest    DLarv  WLarv  DAdlt  WAdlt  Forgrs  Strength   Temp   Rain
Initial     10000      0   7497   2503      0      0      0      0      0      0      0      0      0   0.00   0.00      0   0.00    0.0  0.000    0.0  0.000      0      0      0      0      0      2.220    0.000  0.000
01/01/1988  10000      0   7497   2503      0      0      0      0      0     12      0      0      0   0.00   0.00      0   0.00 1000.0  0.000 4000.0  0.000      0      0      0      0      0      2.220    1.500  0.000
01/02/1988  10000      0   7497   2503      0      0      0      0      0     42      0      0      0   0.00   0.00      0   0.00  980.0  0.000 3921.5  0.000      0      0      0      0      0      2.220    4.400  0.012
01/03/1988  10000      0   7497   2503      0      0      0      0      0     96      0      0      0   0.00   0.00      0   0.00  960.0  0.000 3843.0  0.000      0      0      0      0      0      2.220    8.400  0.051
01/04/1988   9993      0   7140   2853      0      0      0     12      0    151      0      0      0   0.00   0.00      0   0.00  940.0  0.000 3764.5  0.000      0      0      0      0      0      2.220   10.800  0.382
01/05/1988   9986      0   6783   3203      0      0      0     42      0    190      0      0      0   0.00   0.00      0   0.00  920.0  0.000 3686.0  0.000      0      0      0      0      0      2.220   10.200  0.331
01/06/1988   9979      0   6426   3553      0      0      0     96      0    175      0      0      0   0.00   0.00      0   0.00  900.1  0.000 3607.6  0.000      0      0      0      0      0      2.220    4.900  0.000
01/07/1988   9971      0   6069   3902      0      0      0    163      0    152      0      0      0   0.00   0.00      0   0.00  880.1  0.000 3529.3  0.000      0      0      0      0      0      2.220    5.200  0.000
01/08/1988   9963      0   5712   4251      0      0      0    232      0    151      0      0      0   0.00   0.00      0   0.00  860.2  0.000 3451.0  0.000      0      0      0      0      0      2.220    8.100  0.000
01/09/1988   9955      0   5355   4600      0     12      0    259      0    181      0      0      0   0.00   0.00      0   0.00  840.3  0.000 3372.7  0.000      0      0      0      0      0      2.220    7.700  0.000
01/10/1988   9947      0   4998   4949      0     42      0    273      0    206      0      0      0   0.00   0.00      0   0.00  820.4  0.000 3294.5  0.000      0      0      0      0      0      2.220    7.300  0.000
01/11/1988   9939      0   4641   5298      0     96      0    287      0    221      0      0      0   0.00   0.00      0   0.00 1024.3  0.000 15557.9  0.000      0      0      0      0      0      2.220    8.600  0.051
01/12/1988   9930      0   4284   5646      0    163      0    289      0    210      0      0      0   0.00   0.00      0   0.00 1004.5  0.000 15479.7  0.000      0      0      0      0      0      2.220    5.400  0.000
01/13/1988   9921      0   3927   5994      0    232      0    289      0    210      0      0      0   0.00   0.00      0   0.00  984.6  0.000 15401.7  0.000      0      0      0      0      0      2.220    6.300  0.000
01/14/1988   9912      0   3570   6342      0    271      0    333      0    206      0      0      0   0.00   0.00      0   0.00  964.8  0.000 15323.7  0.000      0      0      0      0      0      2.220    7.100  0.000
01/15/1988   9903      0   3213   6690      0    315      0    347      0    244      0      0      0   0.00   0.00      0   0.00  945.0  0.000 15245.7  0.000      0      0      0      0      0      2.220    8.400  0.142
01/16/1988   9893      0   2856   7037      0    383      0    348      0    265      0      0      0   0.00   0.00      0   0.00  925.2  0.000 15167.8  0.000      0      0      0      0      0      2.220    7.500  0.150
01/17/1988   9883      0   2499   7384      0    452      0    358      0    291      0      0      0   0.00   0.00      0   0.00  905.4  0.000 15090.0  0.000      0      0      0      0      0      2.220    8.700  0.409
01/18/1988   9873      0   2142   7731      0    521      0    385      0    277      0      0      0   0.00   0.00      0   0.00  885.7  0.000 15012.2  0.000      0      0      0      0      0      2.220    6.300  0.000
01/19/1988   9863      0   1785   8078      0    604      0    392      0    262      0      0      0   0.00   0.00      0   0.00  866.0  0.000 14934.4  0.000      0      0      0      0      0      2.220    5.500  0.000
01/20/1988   9853      0   1428   8425      0    662      0    439      0    232      0      0      0   0.00   0.00      0   0.00  846.3  0.000 14856.8  0.000      0      0      0      0      0      2.220    5.300  0.000
